station_numbeer,zone_code,zone_name,district_code,district_name,block_code,block_name,panchayat_code,panchayat_name,location,longitude,latitude,station_type,agency,installed_position,date_of_comm,is_problematic,station_premises_on,vendor_engineer_name,User_ID,station_premises_condition,last_visited_date
61110018,56,North West,11,West Champaran,110018,Nautan,,,Nautan,84.481,26.713,AWS,Obel,On Ground,,,Government Land,manish yadav,16,No-Issue,07-03-2024
61120001,56,North West,12,East Champaran,120001,Raxaul,,,Raxaul,84.844,26.982,AWS,Obel,On Ground,,,Government Land,Abhay Kumar ,16,No-Issue,11-10-2025
61120002,56,North West,12,East Champaran,120002,Adapur,,,Adapur,84.946,26.934,AWS,Obel,On Ground,,,Government Land,Abhay Kumar ,16,No-Issue,16-10-2025
61120003,56,North West,12,East Champaran,120003,Ramgarhwa,,,Ramgarhwa,84.791,26.875,AWS,Obel,On Ground,,,Government Land,Abhay Kumar ,16,No-Issue,14-12-2025
61120004,56,North West,12,East Champaran,120004,Sugauli,,,Sugauli,84.767,26.72,AWS,Obel,On Ground,,,Government Land,Abhay Kumar ,16,No-Issue,10-10-2025
61120005,56,North West,12,East Champaran,120005,Banjaria,,,Banjaria,84.884,26.696,AWS,Obel,On Ground,,,Government Land,Abhay Kumar ,15,No-Issue,24-10-2025
61120006,56,North West,12,East Champaran,120006,Chauradano,,,Chauradano,85.007,26.843,AWS,Obel,On Ground,,,Government Land,Abhay Kumar ,16,No-Issue,15-10-2025
61120007,56,North West,12,East Champaran,120007,Bankatwa,,,Bankatwa,85.043,26.799,AWS,Obel,On Ground,,,Government Land,Abhay Kumar ,9,No-Issue,27-11-2025
61120008,56,North West,12,East Champaran,120008,Ghorasahan,,,Ghorasahan,85.131,26.797,AWS,Obel,On Ground,,,Government Land,Abhay Kumar ,16,No-Issue,15-10-2025
61120009,56,North West,12,East Champaran,120009,Dhaka,,,Dhaka,85.157,26.671,AWS,Obel,On Ground,,,Government Land,Abhay Kumar ,15,No-Issue,30-10-2025
61120010,56,North West,12,East Champaran,120010,Chiraia,,,Chiraia,85.076,26.702,AWS,Obel,On Ground,,,Government Land,Navin Kumar,15,No-Issue,25-10-2025
61120011,56,North West,12,East Champaran,120011,Motihari,,,Motihari,84.928,26.644,AWS,Obel,On Ground,,,Government Land,Navin Kumar,2,No-Issue,10-10-2025
61120012,56,North West,12,East Champaran,120012,Turkaulia,,,Turkaulia,84.827,26.614,AWS,Obel,On Ground,,,Government Land,Abhay Kumar ,15,No-Issue,12-12-2025
61120013,56,North West,12,East Champaran,120013,Harsidhi,,,Harsidhi,84.719,26.673,AWS,Obel,On Ground,,,Government Land,Abhay Kumar ,9,No-Issue,08-12-2025
61120014,56,North West,12,East Champaran,120014,Paharpur,,,Paharpur,84.617,26.624,AWS,Obel,On Ground,,,Government Land,Abhay Kumar ,9,No-Issue,09-12-2025
61120015,56,North West,12,East Champaran,120015,Areraj,,,Areraj,84.628,26.554,AWS,Obel,On Ground,,,Government Land,Abhay Kumar ,9,No-Issue,09-12-2025
61120016,56,North West,12,East Champaran,120016,Sangrampur,,,Sangrampur,84.709,26.486,AWS,Obel,On Ground,,,Private Land,Abhay Kumar ,9,No-Issue,11-12-2025
61120017,56,North West,12,East Champaran,120017,Kesaria,,,Kesaria,84.786,26.379,AWS,Obel,On Ground,,,Government Land,Abhay Kumar ,15,No-Issue,17-10-2025
61120018,56,North West,12,East Champaran,120018,Kalyanpur,,,Kalyanpur,84.926,26.433,AWS,Obel,On Ground,,,Government Land,Navin Kumar,15,Damaged,15-10-2025
61120019,56,North West,12,East Champaran,120019,Kotwa,,,Kotwa,84.841,26.509,AWS,Obel,On Ground,,,Government Land,Navin Kumar,15,No-Issue,10-10-2025
61120020,56,North West,12,East Champaran,120020,Piprakothi,,,Piprakothi,84.943,26.542,AWS,Obel,On Ground,,,Government Land,Navin Kumar,15,No-Issue,13-10-2025
61120021,56,North West,12,East Champaran,120021,Chakia (Pipra),,,Chakia (Pipra),85.0494,26.4107,AWS,Obel,On Ground,,,Government Land,Navin Kumar,15,No-Issue,26-12-2025
61120022,56,North West,12,East Champaran,120022,Pakridayal,,,Pakridayal,85.066,26.524,AWS,Obel,On Ground,,,Government Land,Navin Kumar,15,No-Issue,23-10-2025
61120023,56,North West,12,East Champaran,120023,Patahi,,,Patahi,85.141,26.562,AWS,Obel,On Ground,,,Government Land,Abhay Kumar ,15,Partially Sub-merged,18-10-2025
61120024,56,North West,12,East Champaran,120024,Phenhara,,,Phenhara,85.173,26.506,AWS,Obel,On Ground,,,Private Land,Abhay Kumar ,15,No-Issue,06-12-2025
61120025,56,North West,12,East Champaran,120025,Madhuban,,,Madhuban,85.154,26.452,AWS,Obel,On Ground,,,Government Land,Navin Kumar,15,No-Issue,25-12-2025
61120026,56,North West,12,East Champaran,120026,Tetaria,,,Tetaria,85.19,26.389,AWS,Obel,On Ground,,,Government Land,Abhay Kumar ,15,No-Issue,27-11-2025
61120027,56,North West,12,East Champaran,120027,Mehsi,,,Mehsi,85.088,26.338,AWS,Obel,On Ground,,,Government Land,Navin Kumar,15,No-Issue,27-12-2025
61130001,55,North Central,13,Sheohar,130001,Purnahiya,,,Purnahiya,85.321,26.622,AWS,Obel,On Ground,,,Government Land,Manish,19,No-Issue,19-08-2024
61130002,55,North Central,13,Sheohar,130002,Piprarhi,,,Piprarhi,85.313,26.568,AWS,Obel,On Ground,,,Government Land,Abhay,19,No-Issue,19-08-2024
61130003,55,North Central,13,Sheohar,130003,Sheohar,,,Sheohar,85.3,26.51,AWS,Obel,On Ground,,,Government Land,Abhay,19,No-Issue,19-08-2024
61130004,55,North Central,13,Sheohar,130004,Dumri Katsari,,,Dumri Katsari,85.253,26.468,AWS,Obel,On Ground,,,Government Land,Abhay,19,No-Issue,19-08-2024
61130005,55,North Central,13,Sheohar,130005,Tariani Chowk,,,Tariani Chowk,85.292,26.351,AWS,Obel,On Ground,,,Government Land,Abhay,19,No-Issue,19-08-2024
61140001,55,North Central,14,Sitamarhi,140001,Bairgania,,,Bairgania,85.273,26.752,AWS,Obel,On Ground,,,Government Land,Abhay,19,No-Issue,11-02-2025
61140002,55,North Central,14,Sitamarhi,140002,Suppi,,,Suppi,85.348,26.7,AWS,Obel,On Ground,,,Government Land,Abhay,19,No-Issue,11-02-2025
61140003,55,North Central,14,Sitamarhi,140003,Majorganj,,,Majorganj,85.44,26.752,AWS,Obel,On Ground,,,Government Land,Abhay,19,No-Issue,11-02-2025
61140004,55,North Central,14,Sitamarhi,140004,Sonbarsa,,,Sonbarsa,85.578,26.842,AWS,Obel,On Ground,,,Government Land,Abhay,19,No-Issue,12-02-2025
61140005,55,North Central,14,Sitamarhi,140005,Parihar,,,Parihar,85.679,26.716,AWS,Obel,On Ground,,,Government Land,Abhay,19,No-Issue,12-02-2025
61140006,55,North Central,14,Sitamarhi,140006,Sursand,,,Sursand,85.723,26.636,AWS,Obel,On Ground,,,Government Land,Abhay,19,No-Issue,13-01-2025
61140007,55,North Central,14,Sitamarhi,140007,Bathnaha,,,Bathnaha,85.573,26.634,AWS,Obel,On Ground,,,Government Land,Abhay,19,No-Issue,14-01-2025
61140008,55,North Central,14,Sitamarhi,140008,Riga,,,Riga,85.429,26.648,AWS,Obel,On Ground,,,Government Land,Abhay,19,No-Issue,11-02-2025
61140009,55,North Central,14,Sitamarhi,140009,Parsauni,,,Parsauni,85.391,26.55,AWS,Obel,On Ground,,,Government Land,Abhay,19,No-Issue,17-01-2025
61140010,55,North Central,14,Sitamarhi,140010,Belsand,,,Belsand,85.402,26.438,AWS,Obel,On Ground,,,Government Land,0,19,No-Issue,23-01-2024
61140011,55,North Central,14,Sitamarhi,140011,Runisaidpur,,,Runisaidpur,85.505,26.389,AWS,Obel,On Ground,,,Government Land,0,19,No-Issue,23-01-2024
61140012,55,North Central,14,Sitamarhi,140012,Dumra,,,Dumra,85.51,26.56,AWS,Obel,On Ground,,,Government Land,Abhay,19,No-Issue,16-01-2025
61140013,55,North Central,14,Sitamarhi,140013,Bajpatti,,,Bajpatti,85.625,26.551,AWS,Obel,On Ground,,,Government Land,Abhay,19,No-Issue,18-01-2025
61140014,55,North Central,14,Sitamarhi,140014,Charaut,,,Charaut,85.794,26.536,AWS,Obel,On Ground,,,Government Land,Manish Kumar,19,No-Issue,06-02-2024
61140015,55,North Central,14,Sitamarhi,140015,Pupri,,,Pupri,85.700019,26.463582,AWS,Obel,On Ground,,,Government Land,Abhay,19,No-Issue,16-01-2025
61140016,55,North Central,14,Sitamarhi,140016,Nanpur,,,Nanpur,85.655,26.437,AWS,Obel,On Ground,,,Government Land,Abhay,19,No-Issue,13-01-2025
61140017,55,North Central,14,Sitamarhi,140017,Bokhra,,,Bokhra,85.676,26.355,AWS,Obel,On Ground,,,Government Land,Manish Kumar,19,No-Issue,05-02-2024
61150001,55,North Central,15,Madhubani,150001,Madhwapur,,,Madhwapur,85.844,26.605,AWS,Obel,On Ground,,,Government Land,Manish,19,No-Issue,13-02-2025
61150002,55,North Central,15,Madhubani,150002,Harlakhi,,,Harlakhi,85.958,26.61,AWS,Obel,On Ground,,,Government Land,0,19,No-Issue,28-08-2024
61150003,55,North Central,15,Madhubani,150003,Basopatti,,,Basopatti,86.005,26.565,AWS,Obel,On Ground,,,Government Land,0,19,No-Issue,23-01-2024
61150004,55,North Central,15,Madhubani,150004,JayNagar,,,JayNagar,86.13,26.59,AWS,Obel,On Ground,,,Government Land,Manish,19,No-Issue,29-01-2025
61150005,55,North Central,15,Madhubani,150005,Ladania,,,Ladania,86.318,26.613,AWS,Obel,On Ground,,,Government Land,0,19,No-Issue,23-01-2024
61150006,55,North Central,15,Madhubani,150006,Khutona,,,Khutona,86.398,26.515,AWS,Obel,On Ground,,,Government Land,Manish,19,Damaged,29-01-2025
61150007,55,North Central,15,Madhubani,150007,Laukahi,,,Laukahi,86.563,26.468,AWS,Obel,On Ground,,,Government Land,Manish,19,Partially Sub-merged,27-08-2024
61150008,55,North Central,15,Madhubani,150008,Phulparas,,,Phulparas,86.492,26.361,AWS,Obel,On Ground,,,Government Land,Manish,19,No-Issue,27-08-2024
61150009,55,North Central,15,Madhubani,150009,Babu Barhi,,,Babu Barhi,86.272,26.457,AWS,Obel,On Ground,,,Government Land,Manish,19,No-Issue,29-01-2025
61150010,55,North Central,15,Madhubani,150010,Khajauli,,,Khajauli,86.152,26.48,AWS,Obel,On Ground,,,Government Land,0,19,No-Issue,11-04-2024
61150011,55,North Central,15,Madhubani,150011,Kaluahi,,,Kaluahi,86.067,26.464,AWS,Obel,On Ground,,,Government Land,Manish,19,Partially Sub-merged,29-01-2025
61150012,55,North Central,15,Madhubani,150012,Benipatti,,,Benipatti,85.908,26.455,AWS,Obel,On Ground,,,Government Land,Manish,19,No-Issue,14-02-2025
61150013,55,North Central,15,Madhubani,150013,Bisfi,,,Bisfi,85.885,26.319,AWS,Obel,On Ground,,,Government Land,0,19,No-Issue,15-02-2025
61150014,55,North Central,15,Madhubani,150014,Rahika,,,Rahika,86.018,26.38,AWS,Obel,On Ground,,,Government Land,0,19,Damaged,22-01-2024
61150015,55,North Central,15,Madhubani,150015,Pandaul,,,Pandaul,86.077,26.248,AWS,Obel,On Ground,,,Government Land,0,19,No-Issue,22-01-2024
61150016,55,North Central,15,Madhubani,150016,Rajnagar,,,Rajnagar,86.16,26.4,AWS,Obel,On Ground,,,Government Land,0,19,No-Issue,28-11-2023
61150017,55,North Central,15,Madhubani,150017,Andhra Tharhi,,,Andhra Tharhi,86.324,26.396,AWS,Obel,On Ground,,,Government Land,Manish,19,No-Issue,27-08-2024
61150018,55,North Central,15,Madhubani,150018,Jhanjharpur,,,Jhanjharpur,86.277,26.255,AWS,Obel,On Ground,,,Government Land,Satish Kumar Ray,19,No-Issue,29-03-2024
61150019,55,North Central,15,Madhubani,150019,Ghoghardiha,,,Ghoghardiha,86.465,26.289,AWS,Obel,On Ground,,,Government Land,0,19,No-Issue,29-03-2024
61150020,55,North Central,15,Madhubani,150020,Lakhnaur,,,Lakhnaur,86.291,26.21,AWS,Obel,On Ground,,,Government Land,0,19,Damaged,29-03-2024
61150021,55,North Central,15,Madhubani,150021,Madhepur,,,Madhepur,86.375,26.174,AWS,Obel,On Ground,,,Government Land,Satish Kumar Ray,19,No-Issue,28-11-2023
61160001,51,North East,16,Supaul,160001,Nirmali,,,Nirmali,86.789,26.446,AWS,Obel,On Ground,,,Private Land,Shailendra Kumar ,13,No-Issue,11-10-2025
61160002,51,North East,16,Supaul,160002,Basantpur,,,Basantpur,87.018,26.497,AWS,Obel,On Ground,,,Government Land,Shailendra Kumar ,13,No-Issue,13-10-2025
61160003,51,North East,16,Supaul,160003,Chhatapur,,,Chhatapur,87.009,26.213,AWS,Obel,On Ground,,,Government Land,Shailendra Kumar ,13,No-Issue,17-10-2025
61160004,51,North East,16,Supaul,160004,Pratapganj,,,Pratapganj,86.936,26.287,AWS,Obel,On Ground,,,Government Land,Shailendra Kumar ,13,No-Issue,17-10-2025
61160005,51,North East,16,Supaul,160005,Raghopur,,,Raghopur,86.838,26.305,AWS,Obel,On Ground,,,Government Land,Shailendra Kumar ,13,No-Issue,13-10-2025
61160006,51,North East,16,Supaul,160006,Saraigarh Bhaptiahi,,,Saraigarh Bhaptiahi,86.736,26.299,AWS,Obel,On Ground,,,Government Land,Shailendra Kumar ,13,No-Issue,16-10-2025
61160007,51,North East,16,Supaul,160007,Kishanpur,,,Kishanpur,86.679,26.213,AWS,Obel,On Ground,,,Government Land,Shailendra Kumar ,13,No-Issue,14-10-2025
61160008,51,North East,16,Supaul,160008,Marauna,,,Marauna,86.476,26.166,AWS,Obel,On Ground,,,Government Land,Shailendra Kumar ,13,No-Issue,25-10-2025
61160009,51,North East,16,Supaul,160009,Supaul,,,Supaul,86.605,26.127,AWS,Obel,On Ground,,,Government Land,Shailendra Kumar ,13,No-Issue,14-10-2025
61160010,51,North East,16,Supaul,160010,Pipra,,,Pipra,86.799,26.163,AWS,Obel,On Ground,,,Government Land,Shailendra Kumar ,13,No-Issue,16-10-2025
61160011,51,North East,16,Supaul,160011,Tribeniganj,,,Tribeniganj,86.882,26.131,AWS,Obel,On Ground,,,Government Land,Shailendra Kumar ,13,No-Issue,10-10-2025
61170001,51,North East,17,Araria,170001,Narpatganj,,,Narpatganj,87.106,26.337,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,18-12-2025
61170002,51,North East,17,Araria,170002,Forbesganj,,,Forbesganj,87.245,26.311,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,17-12-2025
61170003,51,North East,17,Araria,170003,Bhargama,,,Bhargama,87.129,26.056,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,21-06-2025
61170004,51,North East,17,Araria,170004,Raniganj,,,Raniganj,87.243,26.089,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,21-06-2025
61170005,51,North East,17,Araria,170005,Araria,,,Araria,87.45,26.12,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,18-12-2025
61170006,51,North East,17,Araria,170006,Kursakatta,,,Kursakatta,87.442,26.364,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,17-12-2025
61170007,51,North East,17,Araria,170007,Sikti,,,Sikti,87.548,26.408,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,18-12-2025
61170008,51,North East,17,Araria,170008,Palasi,,,Palasi,87.565,26.24,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,17-12-2025
61170009,51,North East,17,Araria,170009,Jokihat,,,Jokihat,87.615,26.138,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,18-12-2025
61180001,51,North East,18,Kishanganj,180001,Terhagachh,,,Terhagachh,87.688,26.382,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,17-11-2025
61180002,51,North East,18,Kishanganj,180002,Dighalbank,,,Dighalbank,87.843,26.376,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,17-11-2025
61180003,51,North East,18,Kishanganj,180003,Thakurganj,,,Thakurganj,88.125,26.424,AWS,Obel,On Ground,,,Government Land,Anwarul haque,21,No-Issue,18-11-2025
61180004,51,North East,18,Kishanganj,180004,Pothia,,,Pothia,88.173,26.315,AWS,Obel,On Ground,,,Government Land,Anwarul haque,21,No-Issue,18-11-2025
61180005,51,North East,18,Kishanganj,180005,Bahadurganj,,,Bahadurganj,87.832,26.266,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,17-11-2025
61180006,51,North East,18,Kishanganj,180006,Kochadhamin,,,Kochadhamin,87.77,26.162,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,17-11-2025
61180007,51,North East,18,Kishanganj,180007,Kishanganj,,,Kishanganj,87.94,26.09,AWS,Obel,On Ground,,,Government Land,Anwarul haque,21,No-Issue,18-11-2025
61190001,51,North East,19,Purnia,190001,Banmankhi,,,Banmankhi,87.199,25.894,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,25-10-2025
61190002,51,North East,19,Purnia,190002,Barhara,,,Barhara,87.104,25.774,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,25-10-2025
61190003,51,North East,19,Purnia,190003,Bhawanipur,,,Bhawanipur,87.134,25.646,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,25-10-2025
61190004,51,North East,19,Purnia,190004,Rupauli,,,Rupauli,87.151,25.578,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,25-10-2025
61190005,51,North East,19,Purnia,190005,Dhamdaha,,,Dhamdaha,87.186,25.735,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,25-10-2025
61190006,51,North East,19,Purnia,190006,Krityanand Nagar,,,Krityanand Nagar,87.393,25.821,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,24-10-2025
61190007,51,North East,19,Purnia,190007,Purnia,,,Purnia,87.46,25.77,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,24-10-2025
61190008,51,North East,19,Purnia,190008,Kasba,,,Kasba,87.535,25.87,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,24-10-2025
61190009,51,North East,19,Purnia,190009,Srinagar,,,Srinagar,87.403,25.936,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,24-10-2025
61190010,51,North East,19,Purnia,190010,Jalalgarh,,,Jalalgarh,87.531,25.967,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,24-10-2025
61190011,51,North East,19,Purnia,190011,Amour,,,Amour,87.72,25.967,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,23-10-2025
61190012,51,North East,19,Purnia,190012,Baisa,,,Baisa,87.706,26.026,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,23-10-2025
61190013,51,North East,19,Purnia,190013,Baisi,,,Baisi,87.751,25.87,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,23-10-2025
61190014,51,North East,19,Purnia,190014,Dagarua,,,Dagarua,87.624,25.81,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,23-10-2025
61200001,53,South East,20,Katihar,200001,Falka,,,Falka,87.274,25.628,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,26-09-2025
61200002,53,South East,20,Katihar,200002,Korha,,,Korha,87.401,25.626,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,26-09-2025
61200003,53,South East,20,Katihar,200003,Hasanganj,,,Hasanganj,87.577,25.645,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,27-09-2025
61200004,53,South East,20,Katihar,200004,Kadwa,,,Kadwa,87.717,25.662,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,25-09-2025
61200005,53,South East,20,Katihar,200005,Balrampur,,,Balrampur,87.839,25.803,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,25-09-2025
61200006,53,South East,20,Katihar,200006,Barsoi,,,Barsoi,87.925,25.624,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,25-09-2025
61200007,53,South East,20,Katihar,200007,Azamnagar,,,Azamnagar,87.832,25.553,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,25-09-2025
61200008,53,South East,20,Katihar,200008,Pranpur,,,Pranpur,87.723,25.478,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,27-09-2025
61200009,53,South East,20,Katihar,200009,Dandkhora,,,Dandkhora,87.65,25.579,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,27-09-2025
61200010,53,South East,20,Katihar,200010,Katihar,,,Katihar,87.54,25.56,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,27-09-2025
61200011,53,South East,20,Katihar,200011,Mansahi,,,Mansahi,87.596,25.465,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,27-09-2025
61200012,53,South East,20,Katihar,200012,Barari,,,Barari,87.381,25.499,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,26-09-2025
61200013,53,South East,20,Katihar,200013,Sameli,,,Sameli,87.27,25.489,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,26-09-2025
61200014,53,South East,20,Katihar,200014,Kursela,,,Kursela,87.25,25.455,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,26-09-2025
61200015,53,South East,20,Katihar,200015,Manihari,,,Manihari,87.62,25.34,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,20-12-2025
61200016,53,South East,20,Katihar,200016,Amdabad,,,Amdabad,87.796,25.297,AWS,Obel,On Ground,,,Government Land,Pappu kumar,21,No-Issue,20-12-2025
61210001,51,North East,21,Madhepura,210001,Gamharia,,,Gamharia,86.73,26.051,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,16-12-2025
61210002,51,North East,21,Madhepura,210002,Singheshwar,,,Singheshwar,86.805,25.983,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,16-12-2025
61210003,51,North East,21,Madhepura,210003,Ghailar,,,Ghailar,86.692,25.978,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,16-12-2025
61210004,51,North East,21,Madhepura,210004,Madhepura,,,Madhepura,86.87,25.91,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,07-11-2025
61210005,51,North East,21,Madhepura,210005,Shankarpur,,,Shankarpur,86.872,26.039,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,17-06-2025
61210006,51,North East,21,Madhepura,210006,Kumarkhand,,,Kumarkhand,86.994,25.995,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,17-06-2025
61210007,51,North East,21,Madhepura,210007,Murliganj,,,Murliganj,86.995,25.888,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,Sub-merged,19-12-2025
61210008,51,North East,21,Madhepura,210008,Gwalpara,,,Gwalpara,86.892,25.759,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,04-11-2025
61210009,51,North East,21,Madhepura,210009,Bihariganj,,,Bihariganj,86.99,25.75,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,05-11-2025
61210010,51,North East,21,Madhepura,210010,Udakisunpur,,,Udakisunpur,86.954,25.688,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,19-12-2025
61210011,51,North East,21,Madhepura,210011,Puraini,,,Puraini,86.993,25.597,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,19-12-2025
61210012,51,North East,21,Madhepura,210012,Alamnagar,,,Alamnagar,86.902,25.578,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,20-12-2025
61210013,51,North East,21,Madhepura,210013,Chausa,,,Chausa,87.034,25.529,AWS,Obel,On Ground,,,Government Land,Ravi Kumar ,13,No-Issue,19-12-2025
61220001,51,North East,22,Saharsa,220001,Nauhatta,,,Nauhatta,86.486,25.992,AWS,Obel,On Ground,,,Government Land,Ravi kumar ,14,No-Issue,10-11-2025
61220002,51,North East,22,Saharsa,220002,Satar Kataiya,,,Satar Kataiya,86.598,25.968,AWS,Obel,On Ground,,,Government Land,Ravi kumar ,14,No-Issue,16-07-2024
61220003,51,North East,22,Saharsa,220003,Mahishi,,,Mahishi,86.466,25.841,AWS,Obel,On Ground,,,Government Land,Ravi kumar ,14,No-Issue,10-11-2025
